iter	Passed	Remaining
0	16	8235
1	29	7350
2	43	7179
3	53	6609
4	69	6893
5	83	6871
6	97	6873
7	112	6925
8	126	6884
9	138	6803
10	150	6694
11	163	6643
12	175	6578
13	188	6538
14	200	6473
15	213	6453
16	227	6462
17	241	6461
18	254	6443
19	268	6438
20	281	6427
21	298	6488
22	313	6493
23	329	6536
24	343	6532
25	358	6529
26	373	6551
27	390	6577
28	407	6624
29	427	6694
30	448	6787
31	467	6843
32	487	6896
33	501	6877
34	519	6908
35	536	6910
36	552	6918
37	568	6917
38	583	6896
39	601	6920
40	619	6935
41	636	6940
42	652	6930
43	667	6914
44	683	6914
45	697	6885
46	711	6859
47	727	6849
48	742	6835
49	758	6825
50	776	6834
51	792	6824
52	808	6819
53	824	6806
54	839	6791
55	856	6787
56	874	6795
57	890	6786
58	905	6766
59	921	6757
60	941	6776
61	960	6786
62	981	6810
63	1000	6814
64	1018	6815
65	1043	6861
66	1067	6900
67	1092	6939
68	1109	6928
69	1126	6922
70	1144	6915
71	1162	6909
72	1179	6900
73	1195	6884
74	1213	6873
75	1229	6859
76	1245	6844
77	1262	6830
78	1280	6823
79	1297	6813
80	1314	6800
81	1331	6785
82	1347	6769
83	1364	6755
84	1380	6741
85	1399	6735
86	1416	6726
87	1430	6697
88	1443	6665
89	1456	6634
90	1467	6597
91	1481	6568
92	1493	6537
93	1506	6506
94	1518	6471
95	1530	6442
96	1543	6411
97	1556	6384
98	1571	6364
99	1583	6332
100	1595	6304
101	1608	6275
102	1620	6247
103	1635	6226
104	1647	6196
105	1715	6376
106	1757	6454
107	1777	6451
108	1791	6425
109	1804	6398
110	1818	6372
111	1830	6340
112	1843	6314
113	1856	6286
114	1870	6261
115	1885	6241
116	1898	6215
117	1910	6186
118	1924	6161
119	1937	6136
120	1951	6113
121	1965	6090
122	1978	6064
123	1992	6041
124	2007	6022
125	2021	6001
126	2038	5987
127	2053	5967
128	2068	5948
129	2083	5929
130	2096	5904
131	2109	5881
132	2124	5862
133	2138	5841
134	2153	5823
135	2170	5809
136	2184	5788
137	2198	5765
138	2211	5742
139	2220	5708
140	2234	5689
141	2249	5671
142	2264	5654
143	2279	5636
144	2293	5614
145	2309	5599
146	2323	5579
147	2338	5560
148	2353	5543
149	2367	5525
150	2382	5507
151	2399	5493
152	2414	5475
153	2431	5463
154	2447	5446
155	2461	5427
156	2475	5409
157	2488	5387
158	2503	5368
159	2518	5351
160	2532	5331
161	2544	5308
162	2559	5291
163	2573	5272
164	2582	5242
165	2597	5226
166	2611	5207
167	2625	5187
168	2640	5171
169	2651	5147
